Table: Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,99
1,Stockholms , 22 , 41 630 , 5 , 100 , 2 000 , 50 , 69 750 , 1 800 , 200 , 150 , -  , 1 900 , -  , 63 400 , -  , 190 , 4 660 , -  , -  , -  , -  , -  , -  , -  , 1 500 , -  , 71 800 
2,Uppsala , 12 , 82 515 , 5 , 245 , 3 000 , 100 , 98 580 , -  , 220 , 100 , -  , 38 300 , -  , 65 500 , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , 98 900 
3,Södermanlands , 37 , 9 386 , 12 , 600 , 3 500 , 50 , 89 600 , 1 450 , -  , 100 , -  , 16 520 , 100 , 71 730 , 500 , 400 , 1 200 , -  , -  , -  , -  , -  , -  , -  , 550 , -  , 91 100 
4,Östergötlands , 83 , 72 009 , 17 , 2 886 , 6 000 , -  , 40 000 , 38 400 , 1 600 , -  , 160 , 3 360 , -  , 37 200 , 800 , 6 400 , 4 800 , 880 , -  , -  , 19 600 , -  , -  , -  , 6 800 , -  , 80 000 
5,Jönköpings , 294 , 27 511 , 248 , 4 020 , 5 500 , 9 330 , 11 920 , 39 450 , -  , 10 160 , -  , 14 980 , 500 , 5 060 , 2 250 , 2 130 , 2 460 , -  , -  , -  , 19 700 , -  , -  , -  , 3 420 , 40 , 60 700 
6,Kronobergs 1) , 82 , 12 363 , 46 , 1 135 , 3 000 , 3 000 , 2 250 , 18 750 , 1 000 , 4 250 , 200 , 5 600 , 75 , 975 , 50 , 150 , 7 125 , -  , -  , -  , 2 400 , -  , -  , -  , 4 175 , -  , 25 000 
7,Kalmar 1) , 133 , 18 412 , 100 , 1 892 , 3 000 , 9 550 , 5 250 , 14 550 , 650 , 10 290 , -  , 5 190 , 120 , 1 980 , -  , -  , 7 860 , 420 , -  , -  , 4 140 , -  , -  , -  , -  , -  , 30 000 
8,Gottlands 1) , 15 , 3 172 , 11 , 207 , 300 , 500 ,, 500 , -  , 500 , -  ,, -  , 500 , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , 1 000 
9,Blekinge , 37 , 14 258 , 16 , 525 , 1 500 , 1 200 , 7 550 , 4 350 , 5 600 , 1 210 , -  , 7 540 , -  , 1 150 , -  , 350 , 7 250 , -  , -  , -  , 1 200 , -  , -  , -  , -  , -  , 18 700 
10,Kristianstads , 45 , 15 674 , 37 , 1 325 , 2 900 , 3 700 , 32 100 , 15 150 , 16 450 , 4 050 , 1 130 , 31 800 , 2 850 , 9 390 , 230 , 350 , 12 930 , -  , -  , -  , -  , -  , -  , -  , 4 670 , -  , 67 400 
11,Malmöhus 1) , 16 , 25 748 , 4 , 703 , 3 200 , -  , 45 000 , 33 200 , 40 500 , -  , -  , 30 500 , -  , 27 400 , 3 500 , 5 600 , -  , -  , -  , 13 900 , 1 100 , -  , -  , -  , 36 700 , -  , 118 700 
12,Hallands , 131 , 71 164 , 114 , 2 873 , 4 400 , 9 170 , 10 450 , 43 580 , 2 100 , 10 900 , 300 , 12 250 , -  , 8 200 , 600 , 3 000 , 3 150 , -  , -  , -  , 25 500 , 400 , -  , -  , 1 000 , -  , 65 300 
13,Göteborgs och Bohus , 12 , 12 449 , 6 , 209 , 800 , 100 , 100 , 14 800 , -  , 100 , -  , 800 , -  , 10 000 , -  , -  , 250 , -  , -  , -  , 3 850 , -  , -  , -  , -  , -  , 15 000 
