filename;start_page;end_page
Älvsborg.pdf;17;32
Blekinge.pdf;21;26
Gävleborg.pdf;47;60
Goteborgs-och-Bohus.pdf;15;20
Gotland.pdf;16;16
Halland.pdf;77;96
Jämtland.pdf;21;28
Jönköping.pdf;23;52
Kalmar.pdf;21;30
Kopparberg.pdf;25;42
Kristianstad.pdf;63;80
Kronobergs.pdf;18;21
Norrbottens Lan.pdf;19;22
Örebro.pdf;21;32
Östergötland.pdf;25;32
Skaraborgs län.pdf;19;32
Södermanland.pdf;15;22
Stockholm.pdf;15;26
Uppsala.pdf;15;20
urn-nbn-se-kb-digark-1892077.pdf;29;32
urn-nbn-se-kb-digark-2562198.pdf;0;0
Värmland.pdf;23;44
Västerbotten.pdf;19;26
Västernorrland.pdf;35;54
Västmanland.pdf;19;26
