"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ","'20 ","'21 ","'22 ",
"'117 ","'Fjälkestad s:n ","'Sydsvenska Kraft A.-B., Karlshamn, Bygdelin- jen Torsebro-Tollarp- Vittskövle ","'- ","'- ","'- ","'- ","'Trefas ","'50 ","'20 000 ","'225 ","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'46 20 65 ","'56 ","'900 ","'1700 ","'8 000 ","'350 ","'150 ","'1912 ","'35 ",
"'118 ","'","'RAbelovs Gods, Kristian- stad ","'Ab. fran Karlshamn ","'Sydsvenska ","'","'Kraft A.-B., ","'","'50 ","'6 000 ","'- ","'Orts- ","'6 000 ","'9's ","'99 ","'155 ","'- ","'775 ","'67 ","'50 ","'1910 ","'3 ",
"'119 ","'Österslov s:n ","'Osterslovs Andelselektri- citetsforening, Östers- lov ","'","'","'","'- ","'","'- ","'","'","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'- ","'","'","'- ","'- ","'- ","'","'","'",
"'120 ","'Nasum s:n ","'Nilsums Elektriska Kraft- A.-B. Osby (o. Nasum) ","'Turbin Diesel- ","'200 75 ","'4'85 ","'270 ","'Trefas ","'50 ","'380 ","'200 ","'Orts- Gards- ","'000 & 1500 380 ","'47 & 3 41 ","'165&10 ","'200 ","'900 ","'355 ","'80 ","'150 ","'1917 ","'50 ",
"'121 ","'","'Höganils-Billesholms A.-B., Axeltorpsverken, Axeltorp ","'motor Ab. fran Karlshamn ","'Sydsvenska ","'","'Kraft A.-B., ","'","'50 ","'40000 ","'300 ","'Gards- ","'380 & 190 ","'","'12 ","'127 ","'- ","'","'34 ","'54 ","'1908 ","'",
"'122 ","'Ivetofta s:n ","'A.-B. If's Chamotte- & Kaolinverk. Bromölla ","'","'D:o ","'d:o ","'","'","'50 ","'40000 ","'(1110) ","'Gards- ","'500 & 190 ","'05&05 ","'119 ","'1 625 ","'","'- ","'2700 ","'756 ","'1906 ","'",
"'123 ","'","'Ivetofta Andelselektrici- tetsförening, Bromolla ","'","'","'","'","'","'","'","'","'","'","'","'- ","'- ","'","'- ","'","'- ","'","'",
"'124 ","'","'Árups Gard, Bromolla ","'Vattenhjul ","'12 ","'0.6 ","'5 ","'Likstrom ","'","'2 x 220 ","'","'Gards- ","'2 X 220 ","'1 ","'","'12 ","'- ","'300 ","'5 ","'5 ","'1920 ","'",
"'125 ","'Nosaby s:n ","'Fjälkinge och Nosaby samhallens belysnings- forening, Fjälkinge ","'","'","'","'","'","'","'","'","'Orts- Gards- ","'6 000 & 800 190 ","'- ","'","'","'- ","'","'","'","'","'",
"'126 ","'Gustav Adolf s:n ","'Gustaf Adolf, Rinkaby- Hammars samhällens belysningsforening, Viby ","'","'","'- ","'","'","'","'","'","'Orts- Gards- ","'6 000 500 & 190 ","'","'","'","'","'","'","'","'","'",
"'127 ","'Nymö s:n ","'Nymö Andelselektrici- tetsförening, Backa- skog ","'","'","'","'","'","'","'","'","'Orts- Gards. ","'6 000 500 & 190 ","'- ","'","'","'","'","'","'","'","'",
"'128 ","'Âhus koping ","'Ahus Andelselektricitets- forening, Ahus ","'","'","'","'","'","'","'","'","'Orts- Gards- ","'6000 500 & 190 ","'- ","'","'","'","'","'","'","'","'",
"'129 ","'Kristianstad stad ","'Kristianstads stads elek- tricitetsverk, Kristian- ","'Ab. fran Karlshamn ","'Sydsvenska ","'","'Kraft A.-B., ","'Trefas ","'50 ","'40000 ","'","'Orts- ","'6 000 & 5 000 190 X 110 ","'12&0'5 6 & 7 ","'60 ","'1622 ","'","'","'893 75 ","'260 220 ","'1902- 1913 ","'45 ",
"'","'","'stad ","'Suggas- motor Diesel- ","'180 200 ","'- ","'660 ","'Likstrom ","'","'2 x 220 ","'300 ","'Gards- ","'220 ","'20 ","'","'","'","'","'","'","'","'",
"'130 ","'","'Sydsvenska Kraft A.-B., Karlshamn, Kristian- stads alla linjer ","'motor ","'- ","'- ","'- ","'Trefas ","'50 ","'40000 ","'1800) ","'Orts- Gards- ","'6000 500 & 190 ","'6 4 ","'1790 & 67 ","'2 651 ","'106 ","'243 ","'3200 ","'1000 ","'1909 ","'22 ",
"'131 ","'Gärds härad: Skepparslov s:n. ","'Skepparslövsortens An- delselektricitetsför- ","'- ","'","'- ","'- ","'","'- ","'","'- ","'Bygde- Orts- ","'20 000 1500 ","'- ","'","'","'","'","'","'","'","'",
"'132 ","'","'ening, Skepparslov Haslovs Andelselektrici- tetsforening, Kristian- stad ","'","'","'","'","'","'","'","'","'GArds- Bygde- Orts- Gards ","'220 20 000 1500 220 ","'- ","'","'","'","'","'","'","'","'",
"'133 ","'Vastra Vram s:n ","'Västra Vrams Andels- elektricitetsförening, Tollarp ","'","'","'","'","'","'","'","'","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'","'","'","'","'","'","'","'","'",
"'134 ","'Tollarp m:e ","'Tollarps Andelselektrici- tetsförening, Tollarp ","'","'","'","'","'","'","'","'","'Bygde- Orts- GArds- ","'20 000 1500 220 ","'","'","'","'","'","'","'","'","'",
