"'1 ","'2 ","'3 ","'& ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ","'20 ","'21 ",
"'152 ","'Glemminge s:n ","'Kabusa Elektricitetsverk, Glemmingebro (Mal- möhus län) ","'Vatten- turbin ","'","'","'","'Trefas ","'50 ","'500 ","'- ","'Gards- ","'500 & 220 ","'1 & 0's ","'1 ","'10 ","'","'50 ","'1 ","'10 ","'1917 ",
"'153 ","'Borrby s:n ","'Borrby Andelselektrici- tetsförening, Borrby ","'","'","'","'","'","'","'","'- ","'Bygde- Orts. GArds- ","'20 000 1 500 220 ","'","'","'","'","'","'","'","'",
"'154 ","'Ostra Hoby s:n ","'Ostra Hoby Andelselek- trieitetsforening, Borr- by ","'","'","'","'","'","'","'","'","'Bygde- Orts- Gards. ","'20 000 1000 220 ","'","'","'","'","'","'","'","'",
"'155 ","'Löderup s:n ","'Löderups Andelselektri- citetsförening, Löde- rup ","'","'","'","'","'","'","'","'- ","'Bygde- Orts- Gârds- ","'20 000 1500 220 ","'","'","'","'","'","'","'","'",
"'156 ","'Simrishamns stad ","'Simrishamns stads Elek- tricitetsverk, Simris- hamn ","'Ab. fran Karlshamn ","'Sydsvenska ","'","'Kraft A.-B., ","'Trefas ","'50 ","'20000 ","'400 ","'Orts- GArds- ","'1500 220 ","'2 7 ","'266 ","'1000 ","'150 ","'- ","'600 ","'250 ","'1914 ",
"'157 ","'Järrestad härad: Stiby s:n ","'Garsnas Andelselektrici- tetsforening, Gärsnäs ","'- ","'","'","'","'","'","'","'","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'- ","'","'","'","'","'","'","'",
"'158 ","'ÖstraTommarps:n ","'Tommarps Andelselek- tricitetsforening, Tom- marp ","'","'","'","'","'","'","'","'","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'- ","'","'","'","'","'","'","'",
"'159 ","'Järrestad s:n ","'Svenska Skolästfabriken, Jarrestad ","'Ab. fran Karlshamn Vatten- ","'Sydsvenska 30 ","'2 ","'Kraft A.-B., ","'Trefas ","'50 ","'1 500 & 220 ","'- ","'Bygde- Orts Gards- ","'20 000 1500 220 ","'- ","'- ","'(110) 6 ","'- ","'","'- 15 ","'6 ","'1914 ",
"'","'","'","'turbin Ang- ","'70 ","'","'10 ","'Likstrom ","'- ","'110 ","'","'","'","'","'","'","'","'","'","'","'",
"'160 ","'Vallby s:n ","'Vallby Andelselektrici- tetsförening, Hammen- hög ","'maskin ","'- ","'- ","'- ","'","'","'","'- ","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'- ","'","'- ","'","'","'","'- ","'1920 ",
"'161 ","'Simris s:n ","'Bjärsjo Bryggeri A.-B., Simrishamn ","'Vatten- turbin ","'40 ","'1.6 ","'5 ","'Likstrom ","'","'110 ","'- ","'","'","'- ","'- ","'2.5 ","'","'","'3 ","'25 ","'1895 ",
"'162 ","'","'Simris Andelselektrici- tetsförening, Simris- hamn ","'Gasmotor ","'30 ","'","'","'","'","'","'","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'- ","'","'","'","'","'","'","'1919 ",
"'163 ","'Branteviks m:e ","'Branteviks Andelselek- tricitetsforening, Brantevik ","'","'","'","'","'","'","'","'","'Bygde- Orts- Gards- ","'20 000 1500 220 ","'","'","'","'","'","'","'- ","'1920 ",
