"'2 ","'S ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 16 ",
"'Älvkarleby kraftverk, sekun- därstationen i Strängnäs ","'Strängnäs ","'","'","'","'","'3-fas ","'50 ","'70000/20000/3000 ","'","'","'","'","'",
"'Strangnäs stads el. verk ","'","'Ab. fran Alvkarleby kraft- verk ","'","'","'","'","'50 ","'3000/110 ","'","'6 ","'355 ","'360 ","'460 31 ",
"'Ulvhälls och Gorsingeholms egendomar m. fl. ","'","'Strängnäs kraftstation Ab. fran Alvkarleby kraft- verk ","'à ","'","'","'L 3-fas ","'- 50 ","'2 x220 20000/3000/220 ","'","'3 ","'65 ","'55 ","'9 ",
"'Vanso el. distr.-fören. och A.-B. Sanda tegelbruk ","'Vanso, Fogdo ","'","'","'","'","'","'50 ","'20000/3000/220 ","'150 ","'{ 29 ","'169 ","'120 ","'35 ",
"'Aspö el. distr.-foren. och H. Wrangel ","'Aspo ","'","'","'","'","'","'50 ","'20000/3000/220 ","'60 ","'19 ","'176 ","'135 ","'15 ",
"'Toresunds norra el. distr.- foren. ","'","'","'","'","'","'","'","'","'","'17 ","'80 ","'35 ","'23 ",
"'Toresunds södra el. distr.- fören. ","'Toresund ","'","'- ","'","'","'","'50 ","'20000/3000/220 ","'90 ","'{ 23 ","'223 ","'155 ","'22 ",
"'Stallarholmens el. distr.- fören. Husby tegelbruk ","'Ytterselö ","'"" ","'","'","'","'","'50 ","'20000/1500/220 ","'300 ","'9 ","'24 ","'67 ","'12 ",
"'A.-B. Remmar, Sundby Te gelbruks A.-B. m. fl. ","'","'>> "" ","'","'","'","'","'50 ","'20000/- ","'","'","'","'","'",
"'Overselö el. distr.-fören. ","'Överselö ","'","'","'","'","'","'50 ","'20000/1500/220 ","'120 ","'23 ","'101 ","'240 ","'40 ",
"'Ytterselö el. distr.-fören.och] Näsby tegelbruk ","'Ytterselö ","'","'","'","'","'","'50 ","'20000/3000/220 ","'200 ","'16 ","'150 ","'104 ","'21 ",
"'Malmby-Ahus el. distr.- fören. ","'Strängnäs, Aker ","'","'","'","'","'","'50 ","'20000/1500/220 ","'60 ","'20 ","'98 ","'175 ","'31 ",
"'Äkers krutbruk ","'Aker ","'Aker ","'V ","'24 ","'180 ","'","'50 ","'20000/- ","'300 ","'- ","'- ","'390 ","'24 ",
"'kers styckebruk ","'","'Ab. fran Alvkarleby kraft- ","'à ","'","'150 ","'","'50 ","'20000/3000/880 ","'400 ","'","'","'350 ","'44 ",
"'Mariefreds stads el.-verk ","'Mariefred ","'verk ","'","'","'","'","'50 ","'20000/1500/220 ","'","'5 ","'75 ","'75 ","'101 ",
"'Kärnbo ostra el. distr.-fören m. fl. ","'Kärnbo ","'a ","'","'","'","'","'50 ","'20000/1500/220 ","'175 ","'11 ","'71 ","'36 ","'9 ",
"'Taxinge-Nasby egendom och Mariefreds stad ","'Taxinge ","'","'- ","'","'","'","'50 ","'20000/- ","'100 ","'5 ","'125 ","'125 ","'5 ",
"'Enhorna el. distr.-fören. ","'Over En- horna, Ytter En- hörna ","'"" " " ","'","'","'","'"" ","'50 ","'20000/3000/220 ","'60 ","'37 ","'208 ","'92 ","'29 ",
"'K. Karlsson Alvkarleby kraftverk, sekun- därstationen i Eskilstuna ","'Härad Eskilstuna ","'Eksãg ","'V ","'","'1 ","'L 3-fas ","'50 ","'220 70000/20000/6000 ","'","'","'","'- ","'",
