"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ",
"'19 ","'Eskilstuna stads el.-verk med Norra Klosters och Södra Klosters el. distr. ","'Eskilstuna ","'Eskilstuna Ab. fran Alvkarleby kraft- verk ","'a - ","'","'665 ","'L 3-fas ","'50 ","'220 och 110 6000 och 1500/ 190 och 380 ","'","'85 ","'6986 ","'5 680 ","'1955 ","'978 ","'8613 ","'2417 ","'4581 150 ",
"'20 ","'fören. Karl Gustavs stads gevärs- faktori ","'","'Eskilstuna ","'V d ","'1.6-2.3 ","'115 233 ","'","'","'","'","'","'","'","'","'","'","'- ","'",
"'21 ","'Eskilstuna Järnmanuf. A.-B. ","'","'Tunafors Samarbete med Eskils- tuna el.-verk Skogstorp ","'V d - ","'5.2 - ","'1 000 500 ","'3-fas ","'50 ","'6000/ ","'","'","'","'","'","'","'","'","'",
"'22 ","'Eskilstuna Stalpressnings A.-B. ","'","'Samarbete med Eskils- tuna el.-verk och Alvkarleby kraftverk ","'V ","'5.2 ","'1100 ","'","'50 ","'6000/- ","'","'","'","'","'","'","'","'","'",
"'23 ","'Nyby Bruks A.-B. ","'Torshälla ","'Kvarnfallet ","'V ","'3'5 ","'15 ","'","'","'","'","'","'","'","'","'","'","'","'",
"'24 ","'Torshälla stads el.-verk ","'","'Ab. fran Alvkarleby kraft- verk ","'","'","'","'3-fas ","'50 ","'20000/3000/220 ","'","'13 ","'207 ","'150 ","'85 ","'47 ","'282 ","'181 ","'252 591 ",
"'25 ","'Torshälla sockens el. distr. fören. ","'","'","'","'","'","'","'50 ","'20000/3000/220 ","'200 ","'35 ","'190 ","'230 ","'68 ","'26 ","'324 ","'895 ","'163 531 ",
"'26 ","'Malarbadens el. fören. ","'","'1) "" ","'","'","'","'","'50 ","'20000/3000/220 ","'","'12 ","'64 ","'24 ","'15 ","'1 ","'40 ","'211 ","'19 862 ",
"'27 ","'Tumbo el. distr.- fören. ","'Tumbo. Raby-Re- karne ","'","'","'","'","'","'50 ","'20000/3000/220 ","'150 ","'33 ","'315 ","'220 ","'42 ","'7 ","'269 ","'1 817 ","'99 041 ",
"'28 ","'Vallby-Jaders el. distr.- fören. ","'Vallby, Ham- marby, Sundby, Jäder, Kjula ","'","'","'","'","'","'50 ","'20000/3000/220 ","'300 ","'151 ","'1 237 ","'780 ","'164 ","'20 ","'964 ","'7143 ","'413 357 ",
"'29 ","'Eskilstuna Stalpressnings A.-B. m. fl. ","'Eskilstuna ","'","'","'","'","'","'50 ","'20000/6000 ","'600 ","'2 ","'365 ","'990 ","'62 ","'- ","'1 052 ","'","'4722 ",
"'30 ","'Rekarnebygdens el. distr.- fören. ","'Husby-Re- karne, Arla ","'","'","'","'","'","'50 ","'20000/1500/220 ","'150 90 ","'45 ","'341 ","'395 ","'113 ","'19 ","'527 ","'3 343 ","'227 643 ",
"'31 ","'Stenkvista el. distr.-foren. ","'Stenkvista ","'"" ","'","'","'","'","'50 ","'20000/3000/220 ","'100 ","'25 ","'287 ","'210 ","'47 ","'12 ","'269 ","'1 628 ","'76 993 ",
"'32 ","'Eklangens el. distr.-fören. ","'Arla, Kjula ","'"" ","'","'","'","'","'50 ","'20000/3000/220 ","'90 ","'47 ","'326 ","'200 ","'40 ","'","'240 ","'1 230 ","'64 513 ",
"'33 ","'Gillberga-Lis el. distr. foren. ","'Gillberga, Lista ","'","'","'","'","'","'50 ","'20000/3000/220 ","'150 ","'87 ","'634 ","'365 ","'91 ","'8 ","'464 ","'3 284 ","'130 087 ",
"'34 ","'Öja och Vastermo el. distr.- fören. samt Oja Kvarn A.-B. ","'Oja, Väster mo ","'","'","'","'","'","'50 ","'20000/3000/220 ","'150 ","'27 1 ","'308 5 ","'210 59 ","'65 1 ","'11 1 ","'286 61 ","'1948 - ","'81 775 81 325 ",
"'35 ","'N. Arwedsson, Hedenso ","'Näshulta ","'Nashulta kvarn ","'V ","'9 ","'50 ","'","'50 ","'4000/190 ","'","'","'","'","'","'","'","'","'",
"'36 ","'Motala kraftverk. sekundär- stationen i Kantorp ","'Sköldinge ","'","'","'","'","'","'50 ","'70000/20000/3000 ","'","'","'","'","'","'","'","'","'",
"'37 ","'Kantorps el. distr.-fören. ","'","'Ab. fran Motala kraftverk ","'","'","'","'","'50 ","'3000/220 ","'150 ","'11 ","'164 ","'","'","'","'","'1028 ","'82 500 ",
"'38 ","'Stays gruva ","'Floda ","'","'","'","'","'","'50 ","'20000/- ","'","'","'","'","'","'","'","'","'",
"'39 ","'Floda el. distr.-fören. ","'","'","'","'","'","'","'50 ","'20000/3000/220 ","'120 ","'27 ","'222 ","'","'","'","'","'1950 ","'140 100 ",
"'40 ","'Gropptorpsortens el. distr.- foren. ","'V. Vingaker, Floda ","'","'","'","'","'","'50 ","'20000/3000/220 ","'100 ","'22 ","'186 ","'","'","'","'","'1391 ","'63 500 ",
"'41 ","'Julita el. distr.-foren. ","'Julita ","'","'","'","'","'","'50 ","'20000/3000/220 ","'150 ","'51 ","'410 ","'","'","'","'","'2406 ","'95 500 ",
