"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ",
"'1 ","'Stockholms stads el.-verk ","'Söderfors ","'Untra ","'V ","'12.4 ","'30 000 ","'3- fas ",
"'2 ","'Alvkarleby kraftverk Ostan& El. A.-B., Västan&, ","'Alvkarleby ","'Alvkarleby ","'","'167-17:9 ","'50000 ","'",
"'3 ","'Södra el. distr.-fören., Norra el. distr.-fören. och Alvkarleo el. distr.-fören. ","'","'Ab. frân Alvkarleby kraftverk ","'- ","'- ","'","'",
"'4 ","'Gardskärs El. A.-B. ","'","'>> ","'- ","'","'","'"" ",
"'5 ","'Overboda el. distr.-fören. o. Bodarnas bel.-fören. ","'","'","'- ","'","'","'",
"'6 ","'Söderfors Bruks A.-B., Skut- skär 1 ","'","'","'- ","'","'","'",
"'7 ","'Vesslands el. and.-fören. ","'Vessland ","'","'","'","'","'"" ",
"'8 9 ","'Karlholms bruk Oster-Lovsta El. A.-B. ","'","'Carlholms kraftstation ","'V ","'","'","'L ",
"'10 ","'"" ","'Östra Lövsta ","'Ab. fran Alvkarleby kraftverk ","'","'","'","'3-fas ",
"'11 ","'Lanforsens kraftverks bygg- nad ","'Alvkarleby ","'>> "" " ","'","'","'","'",
"'12 ","'A.-B. Marma el.-verk ","'","'","'","'","'","'",
"'13 ","'A.-B. Mehede el.-verk ","'Tierp ","'","'- ","'","'","'",
"'14 ","'Söderfors Bruks A.-B. ","'Söderfors ","'(Söderfors (Ab. fran Alvkarleby kraftverk ","'V ","'4'5 ","'080 ","'",
"'15 ","'Distributionen i Langvik ","'","'"" Söderfors bruk ","'","'","'","'"" ",
"'16 ","'i Untra ","'","'","'","'","'","'",
"'17 ","'Angsbolagets el. distr.-fören. ","'Söderfors, Tierp ","'Alvkarleby kraftverk ","'","'","'","'",
"'18 ","'A.-B. Tierps el.-verk ","'Tierp ","'","'","'","'","'",
"'19 ","'Tolfta El. A.-B. ","'Tolfta ","'Tierps el.-verk ","'","'","'","'",
"'20 ","'Tierps el. distr.-fören. ","'Tierp ","'Alvkarleby kraftverk ","'","'","'","'",
"'21 ","'Stromsbergs bruk ","'","'Husby ","'V ","'","'75 ","'"" ",
"'22 ","'Tierps södra el. distr.-fören. ","'","'Ab. frân Alvkarleby kraftverk ","'","'","'","'"" ",
"'23 ","'Alvkarleby kraftverk Sekundärstationen i Dan- nemora ","'Dannemora ","'","'","'","'","'",
"'24 ","'Films el. distr.-fören ","'Film ","'Ab. frán Alvkarleby kraftverk ","'","'","'","'",
"'25 ","'Dannemora sockens el. distr.- fören. ","'Dannemora ","'","'- ","'","'","'",
