"'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ",
"'25 ","'100000 ","'","'- ","'","'","'","'","'- ","'- ","'",
"'50 ","'70000/20000/3000 ","'","'- ","'- ","'","'- ","'- ","'","'","'",
"'50 ","'3000/220 ","'","'","'","'19 ","'53 ","'6 ","'78 ","'53 ","'36 902 ",
"'50 ","'3000/220 ","'","'3 ","'20 ","'6 ","'17 ","'- ","'23 ","'100 ","'8 346 ",
"'50 ","'3000/220 ","'","'2 1 ","'6 25 ","'2 26 ","'4 50 ","'- - ","'6 76 ","'200 - ","'2 988 29114 ",
"'50 ","'20000/190 ","'","'7 ","'6200 ","'4580 ","'182 ","'1 621 ","'6 383 ","'- ","'",
"'50 ","'20000/3000/220 220 ","'90 ","'20 - ","'141 ","'300 . ","'104 . ","'13 ","'417 ","'2 730 ","'97 980 . ",
"'50 ","'20000/3000/220 ","'150 100 ","'32 ","'355 ","'435 ","'169 ","'4 ","'608 ","'2616 ","'113 170 ",
"'50 ","'20000/ ","'400 ","'- ","'","'144 ","'14 ","'33 ","'191 ","'- ","'133 086 ",
"'50 ","'20000/1500/220 ","'60 ","'4 ","'58 ","'27 ","'22 ","'3 ","'52 ","'300 ","'26 614 ",
"'50 ","'20000/1500/220 ","'90 ","'10 ","'78 ","'39 ","'22 ","'1 ","'62 ","'120 ","'28 721 ",
"'50 ","'20000/ ","'. ","'13 ","'9 685 ","'2 600 ","'295 ","'5 673 ","'8 568 ","'- ","'25 522 239 ",
"'50 ","'20000/ ","'. ","'- ","'","'. ","'. ","'","'. ","'235 ","'. ",
"'50 ","'20000/3000/ ","'","'","'. ","'","'. ","'","'","'- ","'",
"'50 ","'20000/3000/220 ","'65 ","'8 ","'50 ","'81 ","'16 ","'- ","'97 ","'280 ","'29 413 ",
"'50 50 ","'20000/3000/220 20000/3000/220 ","'. ","'2 ","'500 ","'730 ","'86 ","'54 ","'870 ","'","'372470 ",
"'50 ","'20000/1500/220 ","'120 ","'34 ","'201 ","'450 ","'86 ","'9 ","'545 ","'3 330 ","'140 843 ",
"'50 ","'1500/220 ","'- ","'. ","'. ","'. ","'. ","'","'. ","'","'",
"'50 ","'20000/3000/220 ","'100 ","'29 ","'95 ","'113 ","'36 ","'4 ","'153 ","'1 620 ","'58 166 ",
"'50 ","'70000/20000/3000 ","'","'","'","'","'","'","'","'","'",
"'50 ","'3000/220 ","'","'13 ","'77 ","'45 ","'21 ","'","'66 ","'532 ","'28 620 ",
"'50 ","'3000/220 ","'","'14 ","'45 ","'31 ","'22 ","'2 ","'55 ","'684 ","'20 478 ",
