"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ",
"'26 ","'Dannemora gruvintressenter ","'Dannemora ","'Ab.fran Älvkarleby kraftverk ","'","'","'","'3-fa ","'50 ","'20000 ","'","'2 ","'1500 ","'1070 ","'87 ","'91 ","'1248 ","'- ","'1 425 722 ",
"'27 ","'Gimo-Osterby Bruks A.-B. ","'Film ","'","'","'","'","'","'50 ","'20000/500/220 ","'","'4 4 ","'2600 18 ","'1850 20 ","'143 10 ","'360 2 ","'2 353 32 ","'250 155 ","'1 847392 6 282 ",
"'28 ","'Upplanda och Berga el. distr.fören. ","'Tegelsmora ","'","'","'","'","'","'50 ","'20000/1500/220 ","'100 ","'9 ","'22 ","'36 ","'9 ","'1 ","'46 ","'300 ","'15 936 ",
"'29 ","'Gyllby el. distr.-fören. Tegelsmora el. distr.-fören. ","'","'","'- ","'","'","'","'50 ","'20000/3000/220 ","'90 ","'27 ","'135 ","'101 ","'46 ","'6 ","'153 ","'1000 ","'47 145 ",
"'30 ","'Gimo-Osterby Bruks A.-B. ","'","'Tobo kraftstation ","'- V ","'- ","'","'","'50 ","'20000/3000/220 ","'","'3 ","'56 ","'58 ","'23 ","'6 ","'87 ","'300 ","'8 084 ",
"'31 ","'IE. V. Rosen och ","'Vendel ","'/Kettslinge ","'à ","'- ","'125 ","'","'50 ","'20000/3000/220 ","'- ","'1 ","'90 103 ","'110 52 ","'25 43 ","'5 28. ","'140 123 ","'750 ","'154 721 133 484 ",
"'","'(Orbyhus el. distr.-fören. ","'","'lAb frên Alvkarleby kraftverk ","'","'","'","'","'","'","'","'3 ","'","'","'","'","'413 ","'3037 ","'97 316 ",
"'32 ","'Vendels el. distr.-foren. ","'","'","'","'","'","'","'50 ","'20000/1500/220 ","'120 ","'50 ","'162 ","'275 ","'123 ","'15 ","'","'","'",
"'33 ","'Gimo-Osterby Bruks A.-B. ","'Skeftham- ","'Gimo ","'à ","'","'200 ","'","'50 ","'500 ","'","'","'","'","'","'","'","'- ","'",
"'34 ","'Ramhalls gruvor ","'mar Alunda ","'Ab frAnAlvkarleby kraftverk ","'","'","'","'","'50 ","'20000/ ","'350 ","'","'- ","'95 ","'- ","'","'95 ","'- 140 ","'128 253 65 557 ",
"'35 ","'Alunda norra l.distr.-fören. ","'","'","'","'","'","'","'50 ","'20000/3000/220 ","'100 ","'48 ","'212 ","'145 ","'74 ","'19 ","'238 ","'","'",
"'36 ","'Ekeby el. distr. foren. ","'Ekeby ","'","'","'","'","'","'50 ","'20000/3000/220 ","'100 ","'61 ","'324 ","'274 ","'94 ","'29 ","'397 ","'2 283 ","'68 161 ",
"'37 ","'Vaskinge A.-B. ","'","'Vaskinge ","'V ","'","'10 ","'","'50 ","'110 ","'","'","'","'","'","'","'","'2226 ","'87 384 ",
"'38 ","'Alunda södra och Tuna el. ","'Alunda,Tuna ","'Ab. fran Alvkarleby kraftverk ","'","'","'- ","'","'50 ","'20000/3000/220 ","'130 ","'49 ","'317 ","'170 ","'78 ","'13 ","'261 ","'","'",
"'39 ","'distr.-fören. Olands-Stavby el. distr.- ","'Stavby ","'","'- ","'","'- ","'","'50 ","'20000/1500/220 ","'90 ","'22 ","'117 ","'215 ","'62 ","'6 ","'283 ","'1 606 ","'77 652 ",
"'40 ","'fören. Skeberga ângkvarns bolag ","'","'Skeberga ","'à ","'- ","'35 ","'","'50 ","'1500/190 ","'","'","'","'","'","'","'","'","'",
