"'1 ","'2 ","'3 ","'4 ","'5 ","'","'","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ",
"'56 ","'Dalby el. distr.-fören. ","'Dalby, Upp- sala-Näs ","'Ab.fran Älvkarleby kraftverk ","'","'","'","'3-fas ","'50 ","'20000/3000/220 ","'100 ","'45 ","'368 ","'270 ","'54 ","'20 ","'344 ","'2145 ","'83857 ",
"'57 ","'Balingsta el. distr.-fören. ","'Balingsta, V. Aker ","'","'","'","'","'","'50 ","'20000/3000/220 ","'100 ","'35 ","'320 ","'315 ","'47 ","'7 ","'369 ","'1658 ","'85728 ",
"'58 ","'Häggeby el. distr.-fören. ","'Haggeby, Skokloster ","'","'","'","'","'","'50 ","'20000/1500/220 ","'130 ","'21 ","'73 ","'270 ","'55 ","'","'325 ","'1639 ","'78390 ",
"'59 ","'Hâtuna el. distr.-fören. ","'Hâtuna, Hã- bo-Tibble ","'","'","'","'","'","'50 ","'20000/1500/220 ","'90 ","'35 ","'150 ","'360 ","'56 ","'53 ","'469 ","'2327 ","'120 135 ",
"'60 ","'Västra Ryds el. distr.-fören. ","'V. Ryd ","'"" " ","'","'","'","'","'50 ","'20000/3000/220 ","'100 ","'21 ","'191 ","'140 ","'27 ","'5 ","'172 ","'950 ","'51794 ",
"'61 ","'Stockholms-Nas el. distr.- foren. ","'Stockholms- Nas ","'"" 1) ","'","'","'","'","'50 ","'20000/3000/220 ","'100 ","'20 ","'146 ","'135 ","'38 ","'27 ","'200 ","'1032 ","'103 391 ",
"'62 ","'Lossa el. distr.-foren. ","'Lossa, Bro ","'","'","'","'","'","'50 ","'20000/3000/220 ","'130 ","'43 ","'425 ","'280 ","'","'","'","'","'",
"'63 ","'Sunnerdals hemskolor ","'Lossa ","'Sabyholm ","'à ","'","'","'L ","'","'2x110 ","'","'","'","'","'92 ","'21 ","'393 ","'1689 ","'158 766 ",
"'64 ","'Kalmar el. distr.-fören ","'Kalmar ","'Ab. fran Alvkarleby kraftverk ","'","'","'","'3-fas ","'50 ","'","'","'","'","'","'","'","'","'","'",
"'65 ","'Alvkarleby kraftverk, Sekundärstationen i En- köping ","'Enkoping ","'","'","'","'","'","'50 ","'20000/3000/220 70000/20000/3000 ","'60 ","'27 ","'227 ","'150 ","'29 ","'9 ","'188 ","'779 ","'51 990 ",
